No.	Time	Source	Destination	Protocol	Length	Info
7909	45.374536300	162.254.198.101	192.168.50.145	UDP	301	27028 → 47488 Len=259
7910	45.388047800	192.168.50.145	162.254.198.101	UDP	645	47488 → 27028 Len=603
7911	45.389976000	162.254.198.101	192.168.50.145	UDP	1301	27028 → 47488 Len=1259
7912	45.403094100	192.168.50.145	162.254.198.101	UDP	672	47488 → 27028 Len=630
7913	45.405676100	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7914	45.405678700	162.254.198.101	192.168.50.145	UDP	249	27028 → 47488 Len=207
7915	45.417152600	192.168.50.145	162.254.198.101	UDP	765	47488 → 27028 Len=723
7916	45.421853900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7917	45.421854900	162.254.198.101	192.168.50.145	UDP	1187	27028 → 47488 Len=1145
7918	45.432871000	192.168.50.145	162.254.198.101	UDP	761	47488 → 27028 Len=719
7919	45.437397200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7920	45.437400500	162.254.198.101	192.168.50.145	UDP	302	27028 → 47488 Len=260
7921	45.449815400	192.168.50.145	162.254.198.101	UDP	696	47488 → 27028 Len=654
7922	45.453094500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7923	45.453096000	162.254.198.101	192.168.50.145	UDP	284	27028 → 47488 Len=242
7924	45.466197400	192.168.50.145	162.254.198.101	UDP	827	47488 → 27028 Len=785
7925	45.469346100	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7926	45.469348200	162.254.198.101	192.168.50.145	UDP	278	27028 → 47488 Len=236
7927	45.481771500	192.168.50.145	162.254.198.101	UDP	736	47488 → 27028 Len=694
7928	45.484771900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7929	45.484772800	162.254.198.101	192.168.50.145	UDP	245	27028 → 47488 Len=203
7930	45.497166300	192.168.50.145	162.254.198.101	UDP	736	47488 → 27028 Len=694
7931	45.500211000	162.254.198.101	192.168.50.145	UDP	1269	27028 → 47488 Len=1227
7932	45.511128300	192.168.50.145	162.254.198.101	UDP	763	47488 → 27028 Len=721
7933	45.517089600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7934	45.517285600	162.254.198.101	192.168.50.145	UDP	1299	27028 → 47488 Len=1257
7935	45.518615500	162.254.198.101	192.168.50.145	UDP	616	27028 → 47488 Len=574
7936	45.526738000	192.168.50.145	162.254.198.101	UDP	694	47488 → 27028 Len=652
7937	45.530770600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7938	45.530771800	162.254.198.101	192.168.50.145	UDP	350	27028 → 47488 Len=308
7939	45.542865800	192.168.50.145	162.254.198.101	UDP	677	47488 → 27028 Len=635
7940	45.547470700	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7941	45.547550400	162.254.198.101	192.168.50.145	UDP	1299	27028 → 47488 Len=1257
7942	45.549281800	162.254.198.101	192.168.50.145	UDP	677	27028 → 47488 Len=635
7943	45.558488200	192.168.50.145	162.254.198.101	UDP	659	47488 → 27028 Len=617
7944	45.562116200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7945	45.562117100	162.254.198.101	192.168.50.145	UDP	543	27028 → 47488 Len=501
7946	45.574694600	192.168.50.145	162.254.198.101	UDP	638	47488 → 27028 Len=596
7947	45.577934800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7948	45.577942400	162.254.198.101	192.168.50.145	UDP	518	27028 → 47488 Len=476
7949	45.590039300	192.168.50.145	162.254.198.101	UDP	672	47488 → 27028 Len=630
7950	45.593121700	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7951	45.593123100	162.254.198.101	192.168.50.145	UDP	226	27028 → 47488 Len=184
7952	45.606443300	192.168.50.145	162.254.198.101	UDP	693	47488 → 27028 Len=651
7953	45.608868500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7954	45.608869800	162.254.198.101	192.168.50.145	UDP	238	27028 → 47488 Len=196
7955	45.620604300	192.168.50.145	162.254.198.101	UDP	691	47488 → 27028 Len=649
7956	45.624254300	162.254.198.101	192.168.50.145	UDP	1269	27028 → 47488 Len=1227
7957	45.636399000	192.168.50.145	162.254.198.101	UDP	738	47488 → 27028 Len=696
7958	45.640535800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7959	45.640536800	162.254.198.101	192.168.50.145	UDP	360	27028 → 47488 Len=318
7960	45.652513200	192.168.50.145	162.254.198.101	UDP	823	47488 → 27028 Len=781
7961	45.655788300	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7962	45.655789800	162.254.198.101	192.168.50.145	UDP	166	27028 → 47488 Len=124
7963	45.667916300	192.168.50.145	162.254.198.101	UDP	857	47488 → 27028 Len=815
7964	45.672337800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7965	45.672339100	162.254.198.101	192.168.50.145	UDP	381	27028 → 47488 Len=339
7966	45.683263000	192.168.50.145	162.254.198.101	UDP	857	47488 → 27028 Len=815
7967	45.687928600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7968	45.687929700	162.254.198.101	192.168.50.145	UDP	220	27028 → 47488 Len=178
7969	45.697957300	192.168.50.145	162.254.198.101	UDP	787	47488 → 27028 Len=745
7970	45.703171500	162.254.198.101	192.168.50.145	UDP	1280	27028 → 47488 Len=1238
7971	45.714849600	192.168.50.145	162.254.198.101	UDP	702	47488 → 27028 Len=660
7972	45.718862400	162.254.198.101	192.168.50.145	UDP	1209	27028 → 47488 Len=1167
7973	45.730973700	192.168.50.145	162.254.198.101	UDP	626	47488 → 27028 Len=584
7974	45.734601000	162.254.198.101	192.168.50.145	UDP	1221	27028 → 47488 Len=1179
7975	45.747801700	192.168.50.145	162.254.198.101	UDP	608	47488 → 27028 Len=566
7976	45.749466200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7977	45.749468000	162.254.198.101	192.168.50.145	UDP	325	27028 → 47488 Len=283
7978	45.763068300	192.168.50.145	162.254.198.101	UDP	610	47488 → 27028 Len=568
7979	45.765339700	162.254.198.101	192.168.50.145	UDP	1202	27028 → 47488 Len=1160
7980	45.779684800	192.168.50.145	162.254.198.101	UDP	610	47488 → 27028 Len=568
7981	45.781321800	162.254.198.101	192.168.50.145	UDP	1227	27028 → 47488 Len=1185
7982	45.795089800	192.168.50.145	162.254.198.101	UDP	659	47488 → 27028 Len=617
7983	45.795870100	162.254.198.101	192.168.50.145	UDP	1211	27028 → 47488 Len=1169
7984	45.811944500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7985	45.811945600	162.254.198.101	192.168.50.145	UDP	135	27028 → 47488 Len=93
7986	45.812690600	192.168.50.145	162.254.198.101	UDP	756	47488 → 27028 Len=714
7987	45.827506100	162.254.198.101	192.168.50.145	UDP	1158	27028 → 47488 Len=1116
7988	45.828283100	192.168.50.145	162.254.198.101	UDP	841	47488 → 27028 Len=799
7989	45.843745300	162.254.198.101	192.168.50.145	UDP	1167	27028 → 47488 Len=1125
7990	45.844014000	192.168.50.145	162.254.198.101	UDP	826	47488 → 27028 Len=784
7991	45.859389300	162.254.198.101	192.168.50.145	UDP	1154	27028 → 47488 Len=1112
7992	45.860663300	192.168.50.145	162.254.198.101	UDP	865	47488 → 27028 Len=823
7993	45.874359800	162.254.198.101	192.168.50.145	UDP	1147	27028 → 47488 Len=1105
